population size 1000 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
0,20,56,45.94
1,20,56,46.31,1.527106761932373
2,20,56,46.466,1.475208044052124
3,24,56,46.648,1.4784433841705322
4,20,56,46.934,1.5042259693145752
5,0,56,46.68,1.4937834739685059
6,20,56,46.488,1.4504752159118652
7,20,56,46.794,1.481489896774292
8,28,56,47.042,1.4328455924987793
9,28,56,46.922,1.4058828353881836
10,20,56,47.118,1.431199312210083
11,28,56,47.066,1.5423986911773682
12,26,56,46.964,1.4994027614593506
13,20,56,46.958,1.672999620437622
14,20,56,46.95,1.410724401473999
15,20,56,47.172,1.405686616897583
16,20,56,47.368,1.4259843826293945
17,24,56,47.51,1.3859124183654785
18,32,56,47.616,1.4280626773834229
19,24,56,47.536,1.4057807922363281
20,12,56,47.232,1.379643201828003
21,28,56,47.254,1.3840928077697754
22,24,56,47.498,1.399937391281128
23,24,56,47.384,1.4192123413085938
24,22,56,47.418,1.393641710281372
25,20,56,47.402,1.3827786445617676
26,20,56,47.346,1.4067213535308838
27,20,56,47.584,1.4006903171539307
28,20,56,47.598,1.404036521911621
29,12,56,47.604,1.3747777938842773
30,28,56,47.63,1.3854625225067139
31,20,56,47.492,1.3997628688812256
32,28,56,47.296,1.3792486190795898
33,20,56,47.622,1.3914251327514648
34,24,56,47.968,1.3758013248443604
35,24,56,47.842,1.39589262008667
36,26,56,47.738,1.370086908340454
37,24,56,47.74,1.3979384899139404
38,28,56,47.728,1.3459899425506592
39,28,56,47.882,1.3418500423431396
40,20,56,47.82,1.370300054550171
41,28,56,47.792,1.3588120937347412
42,28,56,48.05,1.3670499324798584
43,0,56,47.886,1.3756659030914307
44,20,56,47.616,1.377373218536377
45,26,56,47.536,1.3866102695465088
46,20,56,47.936,1.378312349319458
47,20,56,47.746,1.375596046447754
48,24,56,47.816,1.3606669902801514
49,32,56,47.998,1.3642489910125732
50,20,56,47.934,1.3694024085998535
51,28,56,48.01,1.366297721862793
52,24,56,48.124,1.3734030723571777
53,12,56,47.814,1.37479567527771
54,24,56,47.652,1.4724328517913818
55,20,56,47.834,1.3444273471832275
56,20,56,47.932,1.4431664943695068
57,24,56,47.608,1.6024391651153564
58,30,56,48.096,1.3441665172576904
59,24,56,47.782,1.3374385833740234
60,20,56,47.954,1.3409535884857178
61,24,56,48.226,1.3608379364013672
62,28,56,47.884,1.3875856399536133
63,24,56,47.978,1.392193078994751
64,0,56,48.08,1.3739991188049316
65,32,56,48.096,1.377755880355835
66,32,56,48.118,1.3757743835449219
67,28,56,47.992,1.34844970703125
